ElbowLeftX,ElbowLeftY,ElbowLeftZ,HandLeftX,HandLeftY,HandLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HandRightX,HandRightY,HandRightZ,SpineShoulderX,SpineShoulder,SpineShoulderZ,SpineMidX,SpineMidY,SpineMidZ
0.431508005,0.588850141,0.141999304,0.436218798,0.744412303,0.11066822,0.692483604,0.594406366,-0.122094989,0.685130835,0.468727469,-0.390820891,0.556448027,0.418004379,0.005433233,0.556766659,0.603449844,0.002993415
0.4314363,0.588833749,0.146196783,0.436144263,0.744283795,0.124346294,0.692501307,0.594230413,-0.113600627,0.685958147,0.468568057,-0.371595919,0.556364283,0.417994499,0.006604718,0.556686103,0.603451759,0.00357744
0.431402296,0.588908613,0.14585875,0.435950845,0.74410063,0.1035069,0.692549646,0.594206393,-0.119814195,0.686617255,0.468512982,-0.388079405,0.556410223,0.418036059,0.006574173,0.556659974,0.603425972,0.003561739
0.431330025,0.589155793,0.144580543,0.435834974,0.74405545,0.103449844,0.692621946,0.594270289,-0.127137691,0.687140167,0.468330353,-0.406164587,0.556550249,0.418111771,0.006544587,0.556690171,0.603729546,0.003547563
0.431427479,0.589163423,0.143691912,0.435833633,0.743937612,0.105609939,0.692653835,0.594144285,-0.126422867,0.687230468,0.46754393,-0.400029182,0.556642532,0.417693973,0.006465524,0.556724623,0.6033362,0.003507607
0.431413352,0.589164376,0.138810471,0.435831159,0.743838549,0.103215173,0.692718148,0.59408623,-0.1233842,0.689153254,0.467501223,-0.397009671,0.556640312,0.417722419,0.004531058,0.556735083,0.603310429,0.00254207
0.431432635,0.589078367,0.138270631,0.435836643,0.743577003,0.101321027,0.693481326,0.593016267,-0.114849269,0.694438875,0.466012537,-0.395659745,0.556683734,0.417760998,0.002825534,0.556759961,0.60327743,0.001690877
0.431450993,0.58893913,0.136259675,0.435829729,0.743474543,0.100390635,0.695367932,0.588440597,-0.078726396,0.70428586,0.460853279,-0.339296699,0.55666928,0.41783835,0.010529655,0.556751855,0.603289478,0.005541808
0.431488037,0.588738263,0.136117727,0.435820013,0.743466258,0.103616074,0.69751513,0.586569846,-0.072743334,0.711475253,0.458317071,-0.333647788,0.556674883,0.418242991,0.012542285,0.556853548,0.603491828,0.006551658
0.431516111,0.588609397,0.131773382,0.435817719,0.743460357,0.085454352,0.699298501,0.582074881,-0.06976179,0.717557907,0.454204828,-0.334374905,0.556574002,0.418511286,0.015435082,0.556901932,0.603598885,0.008002494
0.431573242,0.588267744,0.142004266,0.435691774,0.743404806,0.104518816,0.702937484,0.571983397,-0.070101447,0.727810442,0.44966957,-0.332843244,0.556264639,0.418580607,0.018941066,0.556753583,0.603519671,0.009756009
0.431580782,0.587991595,0.107194379,0.435531944,0.743290603,0.002502879,0.705903828,0.562529922,-0.069379881,0.73671782,0.448691159,-0.339397013,0.555837333,0.418616146,0.019156382,0.556563176,0.60340631,0.009867678
0.431421041,0.587634385,0.114666238,0.434923321,0.743282616,0.036140498,0.711000264,0.554925144,-0.06662789,0.750674844,0.442746043,-0.34118706,0.555745095,0.418614313,0.021672705,0.556657135,0.603663348,0.011127283
0.431422293,0.586992562,0.116624549,0.434576452,0.743275464,0.043864075,0.714197159,0.547261655,-0.061228167,0.762733579,0.433999181,-0.331812561,0.555511162,0.418603688,0.020011853,0.556615412,0.6034206,0.010297311
0.43141669,0.586053431,0.138766497,0.434440196,0.743127823,0.082994595,0.716246963,0.544471979,-0.049679462,0.772881925,0.434362501,-0.309724748,0.555508673,0.418556124,0.020830487,0.556900248,0.603294089,0.010721405
0.431375086,0.585290074,0.117152274,0.4340536,0.743085444,0.047580093,0.720260501,0.53852278,-0.038052715,0.792644918,0.429286391,-0.282794535,0.555497587,0.418569908,0.012384645,0.556930453,0.603699632,0.00649956
0.431322813,0.585238993,0.098565191,0.433856785,0.743082702,0.041109473,0.721001983,0.535211504,-0.033342801,0.802659988,0.42791602,-0.266059607,0.555400729,0.418552116,0.000482164,0.556991085,0.603826128,0.000552996
0.431099266,0.585210502,0.08729966,0.433675677,0.74309212,0.027956579,0.722355843,0.524768949,-0.038845491,0.825808823,0.415353447,-0.27434814,0.555242717,0.418520272,-0.01028579,0.55690591,0.604337052,-0.004829611
0.430851936,0.585195601,0.063027091,0.433430284,0.743098974,-0.005561289,0.726091266,0.518893898,-0.038252097,0.832954586,0.418767095,-0.254440248,0.555131882,0.41852577,-0.020808619,0.556763306,0.604842447,-0.010094407
0.430713266,0.585183918,0.007265085,0.433355182,0.743433595,-0.083746165,0.732394814,0.512500286,-0.01665662,0.840098858,0.420559049,-0.202302188,0.554953277,0.418539971,-0.034634099,0.556546196,0.605259627,-0.017021943
0.430376858,0.585223615,-0.015330446,0.433230162,0.743616283,-0.099175319,0.742651761,0.500331104,0.005230906,0.853606701,0.419325769,-0.16685994,0.554809436,0.41864045,-0.04613903,0.556473039,0.60609787,-0.022785997
0.430265367,0.585270882,-0.024603713,0.433165699,0.744288981,-0.106524035,0.752837658,0.492667466,0.011105036,0.864662468,0.411113888,-0.174777091,0.55478619,0.418677896,-0.055833114,0.556468166,0.606630728,-0.027640258
0.430079073,0.585391819,-0.017952841,0.433069855,0.745244443,-0.088883065,0.757704318,0.486178666,-0.001344143,0.873560429,0.40337956,-0.189802572,0.554812521,0.418645144,-0.066951908,0.556382552,0.606996864,-0.033198287
0.430018902,0.58541429,-0.028987665,0.432912678,0.745508254,-0.092822827,0.760178328,0.476810724,0.007662173,0.885546863,0.406345874,-0.16155909,0.554891959,0.418481946,-0.075588657,0.555752821,0.608106852,-0.037524319
0.429815531,0.585307479,-0.046625145,0.432785124,0.745894253,-0.134315863,0.762282789,0.47141546,0.001047929,0.893727124,0.408176064,-0.180761561,0.554933161,0.417834237,-0.087140981,0.555432931,0.608138077,-0.043304209
0.429819256,0.584367573,-0.059643902,0.432771593,0.745926201,-0.170943275,0.760614455,0.465270102,0.012834275,0.894241214,0.409511626,-0.169094026,0.555003628,0.41714935,-0.082895407,0.555016562,0.607758634,-0.041186045
0.429806143,0.583845437,-0.053185366,0.432706207,0.745898426,-0.151961625,0.761484444,0.462188512,0.03168745,0.897146702,0.413463563,-0.144703478,0.555053458,0.416684821,-0.079161825,0.55495508,0.607481636,-0.039319774
0.429810107,0.582791746,-0.026294898,0.43264088,0.745854259,-0.095029816,0.761773467,0.45943886,0.023973094,0.896383643,0.420021325,-0.155893207,0.555185556,0.416013807,-0.075398797,0.554826476,0.606914923,-0.03745636
0.429788411,0.582345605,-0.023175769,0.432545573,0.745855451,-0.098899104,0.762905717,0.458747596,0.023642359,0.899315357,0.422557265,-0.159992918,0.555286884,0.415608153,-0.074502647,0.554820985,0.606697567,-0.03700819
0.429785669,0.582002461,-0.021693002,0.432470411,0.745797813,-0.091547132,0.762946129,0.458594769,0.019925935,0.900105298,0.423720926,-0.167014509,0.555331379,0.415401414,-0.07388673,0.554736771,0.606565125,-0.036696341
