ElbowLeftX,ElbowLeftY,ElbowLeftZ,HandLeftX,HandLeftY,HandLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HandRightX,HandRightY,HandRightZ,SpineShoulderX,SpineShoulder,SpineShoulderZ,SpineMidX,SpineMidY,SpineMidZ
0.319984138,0.582537591,-0.279155612,0.346379668,0.467872143,-0.661122918,0.574139416,0.600848079,0.098856539,0.563935578,0.747926712,0.051986217,0.461413726,0.430734456,-0.031395485,0.459417723,0.611175209,-0.015581753
0.319478333,0.582450926,-0.293756068,0.346784413,0.467472851,-0.673556447,0.574138463,0.600571394,0.10279955,0.563937545,0.747860491,0.061871924,0.461354658,0.430798396,-0.031500312,0.459359914,0.611351185,-0.015637696
0.31882903,0.581869781,-0.303066105,0.348827213,0.467636704,-0.694036722,0.574140012,0.59979099,0.103873767,0.563961267,0.747185767,0.061942734,0.461519763,0.430779904,-0.033160457,0.459443204,0.611562088,-0.01646822
0.317745298,0.581824183,-0.298567891,0.350268602,0.474912792,-0.681823254,0.574121416,0.599697769,0.102911189,0.563966393,0.747145534,0.061575584,0.461644605,0.430848241,-0.036843108,0.459475264,0.611590624,-0.018310947
0.317347676,0.581617236,-0.317058414,0.35405165,0.481190026,-0.697469473,0.574074626,0.599600971,0.110757388,0.563880026,0.747128367,0.067271151,0.46162045,0.431143343,-0.038615232,0.459438086,0.611785412,-0.019200005
0.317026198,0.58160609,-0.31680429,0.35730651,0.487442523,-0.697458327,0.574057698,0.598796546,0.11567048,0.563794255,0.746750176,0.066945955,0.461634159,0.431217238,-0.042341376,0.459440663,0.611786462,-0.021067622
0.3159464,0.581853569,-0.312740982,0.36317873,0.49849233,-0.682561576,0.574016929,0.598312795,0.136644766,0.563795209,0.746431947,0.074080609,0.461147994,0.431220919,-0.039434936,0.459182292,0.611702502,-0.019625617
0.315008581,0.581776798,-0.309861928,0.367516756,0.502232254,-0.681727171,0.574018359,0.598111391,0.137358055,0.563796043,0.746554255,0.072416805,0.461011425,0.431215554,-0.039942435,0.459087275,0.611690596,-0.019877764
0.310878694,0.581361175,-0.325435787,0.369363427,0.511137366,-0.699342608,0.57395035,0.597827971,0.141092986,0.56380403,0.746703386,0.075300977,0.460891828,0.431411684,-0.049510102,0.458929412,0.612172663,-0.024660502
0.310296476,0.58000654,-0.32557258,0.376730263,0.514725029,-0.696354032,0.57366401,0.597827852,0.13841331,0.563756883,0.747199953,0.07486479,0.460685283,0.431454718,-0.049866781,0.458743185,0.612173304,-0.024835329
0.310158312,0.578423798,-0.332676679,0.384497851,0.525839746,-0.702227175,0.573414624,0.597797215,0.145885631,0.563863158,0.747224867,0.07171274,0.460139364,0.430666238,-0.046777298,0.458437189,0.611710876,-0.023274444
0.310295224,0.576959312,-0.336051077,0.393104583,0.531781375,-0.700368106,0.573311925,0.597434819,0.142777041,0.564002395,0.747446656,0.06336803,0.459781468,0.429686844,-0.054288296,0.45821245,0.611202821,-0.027031265
0.316512287,0.573605001,-0.340463459,0.40369907,0.543023825,-0.699299216,0.573225021,0.597000957,0.140386775,0.564290583,0.747426569,0.06193158,0.459807009,0.429012999,-0.059149359,0.458216242,0.610609524,-0.029460923
0.321767569,0.572586596,-0.370645672,0.410609663,0.553065419,-0.729348123,0.572991133,0.596858859,0.106934905,0.564605534,0.747461617,0.013516386,0.459908575,0.428888574,-0.098784404,0.458260953,0.610502191,-0.049274047
0.329780132,0.571935892,-0.368819892,0.418613613,0.560774148,-0.722521544,0.572819829,0.596662521,0.10263101,0.56524086,0.747440755,0.00915331,0.460121647,0.428799391,-0.096561778,0.458424188,0.610455438,-0.048151943
0.335451692,0.569686115,-0.371120274,0.426735967,0.57412827,-0.718587518,0.572612405,0.595663488,0.095500544,0.565648437,0.746688247,-0.00868118,0.460498855,0.428894565,-0.098505562,0.458676137,0.611255996,-0.049116797
0.34368214,0.566634417,-0.362840354,0.432494074,0.589163899,-0.673665106,0.573273778,0.594363868,0.095325515,0.567284346,0.746336758,0.000822598,0.461357698,0.429139808,-0.094417254,0.459221877,0.612054162,-0.047059549
0.348084897,0.564681351,-0.360076666,0.440071106,0.598219573,-0.637438238,0.573783278,0.593788743,0.095221922,0.569102585,0.74588269,0.00604165,0.461777791,0.429227695,-0.093281592,0.459428519,0.612332769,-0.046484643
0.355698168,0.565038502,-0.276518166,0.459443659,0.614992738,-0.472485632,0.5750646,0.59354955,0.098273285,0.571942031,0.745888889,0.048534211,0.462293938,0.429482549,-0.081318612,0.459810339,0.61256358,-0.04050652
0.361831874,0.564929664,-0.285625756,0.464339256,0.627782583,-0.496294826,0.575578928,0.59363389,0.100001514,0.573071361,0.746406734,0.05853023,0.462992728,0.429959163,-0.078604087,0.460213169,0.613007195,-0.039152442
0.367511451,0.564906359,-0.232105538,0.472921669,0.644228935,-0.365921915,0.575789273,0.594705999,0.10109631,0.573711693,0.748075545,0.064305231,0.463321239,0.430648312,-0.075809247,0.46038539,0.613378696,-0.037760081
0.375317276,0.564974487,-0.201049879,0.480500609,0.658149719,-0.304313213,0.576820254,0.594863534,0.110669516,0.574181437,0.748608291,0.087688774,0.464298129,0.430908933,-0.064920301,0.460886337,0.613372751,-0.032317948
0.379774153,0.564899981,-0.230735034,0.489365041,0.671026349,-0.360409498,0.577660382,0.594925821,0.114027634,0.574579418,0.748583734,0.082757525,0.465021282,0.43038784,-0.060453696,0.461283155,0.612838201,-0.030084666
0.389828801,0.56568408,-0.248305351,0.509280503,0.690582991,-0.354350209,0.578460455,0.594371617,0.114810027,0.575087249,0.745352864,0.067200631,0.465430677,0.430052444,-0.057980036,0.461623266,0.612360083,-0.028814698
0.394912124,0.566577494,-0.251125455,0.519870639,0.700396001,-0.338398278,0.57842505,0.594979703,0.099122159,0.574533045,0.744875729,0.033761881,0.465920508,0.429598197,-0.061453886,0.461936198,0.611866213,-0.030545908
0.399411082,0.566853762,-0.242873818,0.523606956,0.699021637,-0.337624431,0.578302443,0.594447732,0.108973667,0.572423279,0.739760578,0.044351082,0.466453433,0.429419085,-0.0470994,0.462148748,0.611765184,-0.023360429
0.40070647,0.567095578,-0.248629332,0.526905775,0.698390961,-0.34717828,0.57827431,0.596595168,0.108785115,0.571323931,0.739250362,0.04460749,0.46704486,0.429194376,-0.048765196,0.462424703,0.611712851,-0.02419406
0.402488708,0.567126989,-0.250148237,0.529423535,0.698732316,-0.33986333,0.578373253,0.597550631,0.102356873,0.570346475,0.73920548,0.040557414,0.46756281,0.429280505,-0.050351977,0.462680236,0.611736543,-0.024990774
0.403653949,0.567342579,-0.233164668,0.531814039,0.699138939,-0.284147441,0.578398585,0.599117458,0.082984835,0.569721758,0.739323556,0.032554835,0.468108743,0.429297477,-0.057805024,0.462994993,0.611202687,-0.028719358
0.404115289,0.567731261,-0.227181584,0.534044564,0.699716032,-0.276054919,0.578387499,0.602236331,0.07880342,0.569040895,0.739384294,0.02910943,0.468599349,0.429508209,-0.057964067,0.463215053,0.611361325,-0.028798987
