ElbowLeftX,ElbowLeftY,ElbowLeftZ,HandLeftX,HandLeftY,HandLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HandRightX,HandRightY,HandRightZ,SpineShoulderX,SpineShoulder,SpineShoulderZ,SpineMidX,SpineMidY,SpineMidZ
0.359335124,0.575624287,-0.283542097,0.406956822,0.454371274,-0.652486801,0.6103127,0.600171447,0.022437122,0.590421557,0.748540819,-0.062322319,0.496918187,0.434049383,-0.059069332,0.494442731,0.606212445,-0.02939515
0.359343678,0.575595558,-0.277064264,0.407691151,0.454328805,-0.640805721,0.610361099,0.600173831,0.030701682,0.590791523,0.748508632,-0.057387359,0.496990532,0.434079364,-0.050249875,0.494529441,0.606102087,-0.024985473
0.359352559,0.575585783,-0.277440161,0.408435643,0.454384238,-0.641447127,0.610387683,0.600450754,0.028955003,0.590835631,0.748850763,-0.057447337,0.497028813,0.434079543,-0.051385015,0.494671196,0.605981536,-0.025553429
0.359358788,0.575567782,-0.276454657,0.409720808,0.454344749,-0.63877809,0.610390544,0.600501835,0.029175084,0.591148496,0.748931229,-0.056034274,0.497040287,0.434057668,-0.050901867,0.494684562,0.605952986,-0.025312861
0.359363675,0.575232446,-0.284012735,0.411351264,0.454061121,-0.641522646,0.610540926,0.60041976,0.048429392,0.591816545,0.74874562,-0.028123725,0.497151166,0.434007362,-0.045511549,0.494941637,0.605848663,-0.022612893
0.359407067,0.573773503,-0.292318583,0.413574547,0.451425165,-0.655171812,0.610561788,0.60079056,0.046165828,0.59203732,0.748939097,-0.030548271,0.497330606,0.433999315,-0.048169913,0.495204344,0.605817892,-0.023944665
0.359214246,0.56847471,-0.302653998,0.417961538,0.445817947,-0.658360124,0.610913754,0.600733638,0.053487889,0.592904449,0.748499751,-0.020132007,0.497371107,0.433913454,-0.048238162,0.495588228,0.605798475,-0.023979747
0.358825356,0.561686337,-0.302222818,0.420905679,0.440432847,-0.658000469,0.611044765,0.600735486,0.056320895,0.593382955,0.748465419,-0.013174471,0.497355521,0.433894545,-0.046385571,0.49571646,0.605784163,-0.023054161
0.358643502,0.556113541,-0.322218269,0.424148619,0.429953218,-0.671258926,0.611096978,0.600845456,0.053559788,0.593543053,0.748573661,-0.016654564,0.497071534,0.433745295,-0.052887494,0.495645903,0.606108457,-0.026306211
0.358593494,0.539397776,-0.335390449,0.431955814,0.410884589,-0.687749326,0.61109978,0.60081172,0.051892735,0.593553185,0.748191237,-0.018873941,0.496751159,0.433908701,-0.054398602,0.495697141,0.60725157,-0.027066817
0.359606355,0.527635992,-0.352884918,0.438039362,0.399422467,-0.699196339,0.611091077,0.600802183,0.04765293,0.593507648,0.747789025,-0.020317882,0.496432051,0.43432948,-0.062679771,0.495625481,0.60783945,-0.031211007
0.36325556,0.507807076,-0.399840176,0.451042563,0.380293429,-0.74780643,0.61109364,0.601367295,0.01517345,0.593226612,0.74798882,-0.043791249,0.496558607,0.435992211,-0.081682973,0.496103004,0.609901309,-0.040712084
0.366468221,0.499000221,-0.42027992,0.456547171,0.372999549,-0.763636351,0.611126125,0.601795375,0.017445859,0.592945874,0.748037517,-0.04371069,0.497116953,0.436295271,-0.087544762,0.496607929,0.610654682,-0.043636743
0.371101648,0.488153487,-0.455833137,0.461203873,0.363391042,-0.804284573,0.611383438,0.602119267,0.019421883,0.592610419,0.748157859,-0.042267714,0.497855291,0.436535671,-0.094161037,0.497466862,0.610963799,-0.046939738
0.38528505,0.458988398,-0.523278892,0.471977562,0.34111163,-0.864307404,0.611634254,0.60303539,0.007484263,0.592634201,0.748179018,-0.045471754,0.500440195,0.435466975,-0.11030638,0.498931512,0.610674426,-0.055011153
0.393409908,0.443968654,-0.54506135,0.486051321,0.32417354,-0.848674893,0.611969113,0.603295624,-0.012354029,0.592651665,0.748271823,-0.052618206,0.501605615,0.434479162,-0.128676761,0.499730714,0.609874301,-0.064201727
0.402537256,0.433452994,-0.582133889,0.497710288,0.309381336,-0.873259366,0.612349391,0.603688419,-0.005021009,0.593114257,0.748075485,-0.058212876,0.502924442,0.434106544,-0.122490984,0.500564434,0.609696634,-0.061111673
0.420245796,0.409075171,-0.611600399,0.5208354,0.280685127,-0.861092925,0.612359226,0.602750719,-0.022144437,0.593731761,0.746921659,-0.069277644,0.503462017,0.433503598,-0.149318419,0.500857569,0.607252777,-0.074550382
0.435996711,0.391263366,-0.589501679,0.537090003,0.260184824,-0.822590351,0.612356365,0.602293313,-0.038227186,0.594042957,0.746120036,-0.099507742,0.503469482,0.431919351,-0.156536024,0.500764966,0.604597248,-0.078162604
0.453131378,0.366344988,-0.541321754,0.55329293,0.246795073,-0.61721766,0.612154365,0.599969506,-0.04498741,0.594370365,0.745930254,-0.148973972,0.502319783,0.428300276,-0.145661915,0.499525242,0.601786338,-0.07272716
