ElbowLeftX,ElbowLeftY,ElbowLeftZ,HandLeftX,HandLeftY,HandLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HandRightX,HandRightY,HandRightZ,SpineShoulderX,SpineShoulder,SpineShoulderZ,SpineMidX,SpineMidY,SpineMidZ
0.331232071,0.579441905,-0.282253176,0.385817111,0.454093337,-0.634243906,0.583790839,0.583862841,0.169871747,0.574523687,0.736415267,0.128383413,0.468413144,0.425537214,0.016369063,0.464805484,0.607557543,0.008309548
0.331210226,0.57949239,-0.283109486,0.382148176,0.454040915,-0.644269824,0.583699822,0.583982885,0.169635847,0.574432015,0.736402333,0.127284154,0.468274966,0.425776914,0.012066975,0.464733206,0.607619427,0.006157931
0.331371605,0.579485476,-0.285625994,0.38032937,0.44999823,-0.648320317,0.583652258,0.584733129,0.155762911,0.574218094,0.736613929,0.116561793,0.468232691,0.426225722,0.007086085,0.464733496,0.60783346,0.003665098
0.331620812,0.580415308,-0.275349081,0.372012794,0.450125694,-0.647369862,0.583631396,0.584987044,0.151526913,0.574079216,0.736612678,0.102575697,0.468132392,0.426489443,0.00293299,0.464693047,0.608187586,0.001587296
0.332254052,0.583101809,-0.268080413,0.363165319,0.453754455,-0.646996856,0.583497226,0.585859537,0.152024224,0.573858619,0.736729741,0.098564431,0.467906341,0.427261129,0.000879239,0.46458137,0.60886661,0.000560377
0.333278835,0.586024582,-0.249093533,0.358204246,0.455512255,-0.636318326,0.583278775,0.586660385,0.15759629,0.573752761,0.736909091,0.102558337,0.467386931,0.427763477,0.006739505,0.464321189,0.609202586,0.003492921
0.334685385,0.587976217,-0.247375533,0.350153446,0.467797428,-0.639485836,0.582899809,0.587021172,0.163080901,0.573644757,0.736919224,0.105278112,0.466868415,0.42845428,0.00837268,0.464067832,0.60963814,0.004308626
0.335852057,0.590872467,-0.231719449,0.344106466,0.477148205,-0.629675448,0.582714498,0.587023377,0.160355732,0.573494077,0.736561477,0.092694059,0.466346622,0.42868045,0.007970146,0.46387022,0.609699383,0.004103852
0.339849532,0.590798318,-0.234482452,0.338225424,0.488435358,-0.642782807,0.582278252,0.587013364,0.150839061,0.573308825,0.736412585,0.086955398,0.465536311,0.428652897,-0.003167916,0.463458769,0.60946124,-0.001477151
0.344703376,0.589371502,-0.204725772,0.334184349,0.493756473,-0.628217638,0.582262397,0.587003589,0.137525201,0.573300958,0.736339271,0.06283503,0.46548976,0.42867206,0.002165442,0.463452004,0.609270506,0.001182283
0.346817195,0.585397482,-0.220814377,0.326544762,0.501636147,-0.667306125,0.582260787,0.586609185,0.141738564,0.573149741,0.736259401,0.073700473,0.465627521,0.429036766,-0.00345638,0.463518657,0.609364554,-0.00162951
0.34702298,0.575098217,-0.249488503,0.318357646,0.498590678,-0.729540765,0.582261443,0.586333573,0.17135644,0.57316345,0.736205101,0.144495398,0.465884224,0.429351687,-0.00167516,0.463640325,0.609526291,-0.000753015
0.348920405,0.57499367,-0.249142841,0.315477133,0.506854832,-0.709130764,0.582243502,0.586381733,0.170492142,0.573116541,0.736199141,0.132889852,0.466027811,0.429952919,-0.005296779,0.463708557,0.609933347,-0.002564564
0.34886682,0.572499156,-0.209146425,0.310200036,0.510145903,-0.665323615,0.582221687,0.586751044,0.15545097,0.573051274,0.73620826,0.128128037,0.466207877,0.430592522,-0.001211136,0.463610724,0.610360883,-0.000528939
0.348426014,0.571168125,-0.212308675,0.310106575,0.529661477,-0.663201332,0.581860423,0.587286949,0.151302144,0.572888315,0.736314654,0.123989776,0.466245383,0.430907756,-0.005809085,0.463387698,0.610656515,-0.002830128
0.348085791,0.571206927,-0.188854024,0.302031606,0.536061406,-0.635944605,0.581634641,0.587478757,0.144405216,0.572718978,0.736313283,0.100699261,0.46623978,0.431238577,-0.004500149,0.463230237,0.611457102,-0.002169765
0.347483665,0.568358481,-0.099584483,0.290479541,0.538473189,-0.445151985,0.581292033,0.58747524,0.14254275,0.57264936,0.736312628,0.110652566,0.466302365,0.431204885,0.002614028,0.463139713,0.611579016,0.001398083
0.345745414,0.56729722,-0.061205983,0.281045973,0.543284774,-0.380341202,0.581155419,0.587285578,0.140520692,0.572562218,0.7362836,0.1109154,0.466314629,0.431277111,0.004777015,0.463108853,0.611690111,0.002489182
0.344916284,0.565277159,0.096700802,0.274479896,0.550527334,-0.071725234,0.581075191,0.587237179,0.131795138,0.572371662,0.736288846,0.110440433,0.466445744,0.431227192,0.01754393,0.463098079,0.611661516,0.008896394
0.344759643,0.56515187,0.111910328,0.27184695,0.558388293,-0.050040584,0.580782175,0.586854219,0.131583259,0.572273552,0.736082911,0.108552717,0.466667384,0.431253687,0.022470693,0.463181421,0.611675285,0.011361127
0.341101021,0.565374374,0.300461829,0.239125162,0.569169819,0.336959928,0.58062911,0.586673915,0.132118255,0.572028518,0.736080527,0.101732612,0.466606498,0.431040436,0.037171805,0.463176601,0.61141938,0.018721827
0.332446367,0.565979421,0.199060336,0.222860172,0.586251497,0.135223299,0.580505788,0.586678207,0.159004435,0.571801066,0.73608768,0.124276042,0.466331005,0.431039408,0.045259766,0.46303799,0.611535989,0.022756128
0.327118576,0.567292094,0.143645674,0.221115544,0.593946397,0.02375358,0.58011502,0.586700022,0.170690224,0.571390748,0.736113787,0.139033362,0.46567969,0.431075662,0.045239268,0.462692164,0.611563876,0.022742836
0.320154369,0.56785661,0.14103362,0.209204704,0.608202338,0.066629425,0.58004123,0.58665365,0.149673983,0.571255326,0.736124754,0.11360798,0.465038657,0.431027591,0.032810552,0.462364204,0.611391544,0.016523685
0.315855742,0.568720162,0.117583752,0.205485493,0.615028441,0.035652809,0.579997659,0.586375773,0.134146959,0.571242273,0.736110091,0.096135959,0.464562759,0.431008697,0.011903081,0.462124236,0.611371338,0.006068009
0.312141925,0.569033325,0.100168251,0.204339623,0.626262784,0.004838142,0.579893231,0.586112559,0.135524958,0.571232915,0.735969603,0.09327437,0.463936955,0.431467369,0.004935465,0.46181424,0.611724295,0.002580035
0.309661299,0.569102049,0.105465055,0.20026657,0.632229209,0.033826262,0.579844475,0.585973799,0.117828056,0.571187139,0.735948741,0.077028617,0.463639319,0.431798533,-0.001784835,0.461665794,0.611891083,-0.000784728
0.308748275,0.569115043,0.105116226,0.200967148,0.635425985,0.030061617,0.579589128,0.585899472,0.121096693,0.571027756,0.735883296,0.082923755,0.463476121,0.432251543,-0.005736008,0.461600922,0.612143531,-0.002758745
0.303278983,0.569139123,0.061942495,0.19531332,0.644041479,-0.006720834,0.579243243,0.585711122,0.100395359,0.570947945,0.735881567,0.071491107,0.462796375,0.432830036,-0.041785611,0.46136497,0.612434015,-0.020789349
0.300814539,0.569155097,0.049614001,0.194730908,0.647080183,-0.017838329,0.578973651,0.585476696,0.104844213,0.570550203,0.73584348,0.069701336,0.462143198,0.433668151,-0.039367158,0.461123846,0.613043658,-0.019588805
