ElbowLeftX,ElbowLeftY,ElbowLeftZ,HandLeftX,HandLeftY,HandLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HandRightX,HandRightY,HandRightZ,SpineShoulderX,SpineShoulder,SpineShoulderZ,SpineMidX,SpineMidY,SpineMidZ
0.392013639,0.587444067,-0.007646338,0.3890751,0.720144093,-0.179069668,0.610594451,0.594394445,0.110108577,0.609001815,0.729252756,-0.029015386,0.501740485,0.451887846,-0.027532802,0.501511455,0.617037699,-0.013642542
0.392013371,0.587554157,0.020174693,0.389077634,0.72024256,-0.138825729,0.61093843,0.594352543,0.113409378,0.608864546,0.727504671,-0.020627379,0.501724094,0.451902002,-0.01820962,0.501503669,0.617197916,-0.00898312
0.391956776,0.587369025,0.044891201,0.389149219,0.719568431,-0.082200252,0.611989021,0.594228327,0.094994769,0.607760787,0.724294364,-0.049176674,0.501762271,0.451927334,-0.025953554,0.501519196,0.617174059,-0.012856483
0.391531169,0.583256006,0.102684185,0.390518606,0.706427395,-0.005222029,0.615048945,0.592980385,0.085707285,0.60460788,0.712988436,-0.067070737,0.501875877,0.45235984,-0.014535327,0.501586631,0.617350973,-0.007129265
0.39100343,0.580497026,0.073266514,0.393033653,0.696605384,-0.041039195,0.616375625,0.591487586,0.067081466,0.596450686,0.702613592,-0.102667846,0.502051041,0.452883944,-0.03710332,0.501642913,0.616899125,-0.018415102
0.3907336,0.575764716,0.076707833,0.396619618,0.679700136,-0.026084274,0.618244052,0.585180521,0.062302452,0.595008016,0.672930121,-0.104877807,0.502233192,0.452906221,-0.035386723,0.501651093,0.6151454,-0.017554146
0.390252888,0.575942934,0.036085121,0.406564385,0.647704124,-0.141537696,0.619136214,0.585061312,-0.101753615,0.592021823,0.627147555,-0.413282216,0.502337039,0.452886015,-0.054363331,0.501742341,0.614556953,-0.02702941
0.389774144,0.586137593,-0.102439165,0.417599291,0.617222488,-0.412979782,0.620463669,0.585157275,-0.138973251,0.585161448,0.604056954,-0.466189474,0.501885965,0.452655599,-0.067387044,0.501518205,0.614354782,-0.033542879
0.384008735,0.586247861,-0.175017029,0.419559419,0.59067595,-0.545962572,0.622390985,0.584609926,-0.151496083,0.587416351,0.57132256,-0.512773275,0.501221925,0.451363564,-0.061018476,0.501191169,0.612883836,-0.030356899
0.37825042,0.587485194,-0.159519821,0.41845727,0.561608136,-0.493800581,0.62996906,0.584575593,-0.114375912,0.588863492,0.52837801,-0.433044046,0.500406966,0.451258689,0.018938779,0.500774726,0.610878319,0.009608572
