ElbowLeftX,ElbowLeftY,ElbowLeftZ,HandLeftX,HandLeftY,HandLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HandRightX,HandRightY,HandRightZ,SpineShoulderX,SpineShoulder,SpineShoulderZ,SpineMidX,SpineMidY,SpineMidZ
0.439416111,0.587746799,0.20428887,0.443517357,0.741943598,0.222813562,0.700940609,0.589454353,-0.08268059,0.683042765,0.453452289,-0.325303435,0.560843512,0.415819511,0.033944363,0.560191803,0.605136268,0.017228306
0.439683378,0.58730644,0.200047404,0.443493515,0.741302669,0.21427238,0.701006472,0.589435995,-0.081375033,0.683729887,0.454634041,-0.318051994,0.560813889,0.415778235,0.03347225,0.560175635,0.605113454,0.016992669
0.439706981,0.587301016,0.197603911,0.443339348,0.7412799,0.209678292,0.70118928,0.589409292,-0.088787735,0.68408525,0.455411792,-0.328844547,0.560821652,0.415739357,0.031202736,0.560160726,0.605184436,0.015857893
0.439780623,0.587379575,0.196741179,0.443315208,0.741262078,0.209234148,0.701484799,0.589260995,-0.088633142,0.684894919,0.455535769,-0.330761611,0.560851932,0.415738165,0.031041281,0.560239404,0.605179846,0.015777148
0.439807653,0.587104619,0.19671759,0.443255752,0.741028249,0.21250324,0.702802062,0.58951354,-0.088064514,0.68517065,0.458323896,-0.325802982,0.561256677,0.415764704,0.031241309,0.560396448,0.605455168,0.015877096
0.439808667,0.587072313,0.192069322,0.443204314,0.740885019,0.207191229,0.703742921,0.589535415,-0.088026568,0.685119748,0.460338265,-0.325045884,0.561335519,0.415999755,0.029572682,0.560391285,0.605671547,0.015040884
0.439806789,0.586795986,0.158650234,0.443065643,0.740877807,0.15246591,0.70698148,0.589715123,-0.094126657,0.683099031,0.46973452,-0.351357371,0.561482355,0.41624856,0.017516518,0.560573064,0.605920166,0.009008843
0.439803421,0.586839437,0.105136596,0.443042517,0.741114676,0.045997165,0.712498546,0.589930773,-0.119939625,0.68185991,0.481186807,-0.404313087,0.561406955,0.41855678,0.000568583,0.560574017,0.607267275,0.000535417
0.439687401,0.586984813,0.069708884,0.44252497,0.741526425,-0.032633983,0.7155357,0.58799088,-0.13704823,0.681617677,0.509252608,-0.476078838,0.561204582,0.418541133,-0.01083651,0.560548112,0.607427448,-0.005159507
0.439690262,0.586685061,0.079897784,0.442394674,0.74151969,-0.018529046,0.717452109,0.586588681,-0.128188878,0.681555152,0.521167517,-0.448150009,0.561050922,0.41856651,-0.007798912,0.560585141,0.607563458,-0.003636296
0.439691395,0.58668679,0.072472468,0.44229722,0.74154222,-0.045109101,0.717569709,0.585742354,-0.127800062,0.680311859,0.529114187,-0.462288707,0.560757443,0.418565482,-0.009858469,0.560585313,0.607583359,-0.004665114
0.439529598,0.58675456,0.089348271,0.442280293,0.74169457,-0.024216712,0.716978908,0.585156322,-0.119276188,0.680286288,0.543130636,-0.442033708,0.56061323,0.41846326,-0.006018769,0.560733519,0.607611597,-0.002738613
0.439291894,0.586513519,0.092514113,0.442000568,0.741675436,-0.02487703,0.716215968,0.584543943,-0.106644467,0.679409564,0.566952288,-0.435881525,0.560512394,0.418531939,-0.008110091,0.560751036,0.607945047,-0.003783549
0.439177692,0.586512923,0.059684463,0.441754282,0.741681993,-0.105327152,0.715980232,0.584538281,-0.112113394,0.675918519,0.584786475,-0.482800901,0.560676724,0.418847382,-0.023401238,0.560864717,0.608755156,-0.011415891
0.439174652,0.588107765,0.023475261,0.441683114,0.742130637,-0.180032715,0.715849876,0.584588051,-0.111914411,0.676016092,0.610590935,-0.49108237,0.561236918,0.41970934,-0.035414511,0.560949594,0.609603129,-0.01737111
0.439172566,0.58888942,0.008704377,0.441667467,0.74232918,-0.195463032,0.715572834,0.583032846,-0.102521501,0.676947296,0.628590822,-0.469839275,0.561522216,0.420786262,-0.040063318,0.561000586,0.610189676,-0.019688377
0.439098686,0.589137912,0.022148166,0.441653401,0.742509305,-0.167770594,0.715375662,0.577319801,-0.034493409,0.680420339,0.652956784,-0.326449573,0.561556667,0.421925545,-0.033439672,0.561006919,0.610766679,-0.01641819
