HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,hipLeftX,hipLeftY,hipLeftZhipRightX,hipRightY,hipRightZ
0.27587130665779114,0.7928131818771362,0.10664123296737671,0.6129506826400757,0.8252200484275818,-0.18600785732269287,0.3140886425971985,0.34941986203193665,-0.05577189847826958,0.5893415212631226,0.3579751253128052,-0.09927088767290115,0.35525256395339966,0.8937578201293945,0.010732332244515419,0.5204615592956543,0.9041475057601929,-0.010201959870755672
0.26980674266815186,0.7835931181907654,0.037625376135110855,0.6124287843704224,0.8170405626296997,-0.10381229221820831,0.3128872215747833,0.3442929983139038,-0.042163554579019547,0.5798399448394775,0.3564813435077667,-0.05963922291994095,0.35076913237571716,0.8807697296142578,0.0014092186465859413,0.5185200572013855,0.8906704187393188,-0.0009155403822660446
0.26836317777633667,0.7763755321502686,0.021062273532152176,0.6022263169288635,0.7897096276283264,-0.09006229043006897,0.3038597106933594,0.33680710196495056,-0.0670587420463562,0.5656998753547668,0.35263413190841675,-0.07738576829433441,0.345192015171051,0.8623591065406799,-0.0012624065857380629,0.5125025510787964,0.8677663207054138,0.0016454679425805807
0.26603949069976807,0.7576644420623779,-0.01844131387770176,0.5967798233032227,0.7766093015670776,-0.06988932937383652,0.3022032678127289,0.3280719220638275,-0.05331867188215256,0.5523244738578796,0.3418320119380951,-0.07196004688739777,0.33978337049484253,0.8465241193771362,-0.0006900863954797387,0.5035872459411621,0.8514508605003357,0.0010734300594776869
0.26985234022140503,0.7600628137588501,-0.08860433846712112,0.5948619842529297,0.7632858157157898,-0.1205880418419838,0.30215737223625183,0.33074435591697693,-0.04601278156042099,0.5503231883049011,0.3439800441265106,-0.03754228353500366,0.33870095014572144,0.837199330329895,-0.002545876894146204,0.5008987188339233,0.8386076092720032,0.003051643492653966
0.27170029282569885,0.7601156234741211,-0.06875912100076675,0.5921576619148254,0.7558594346046448,-0.04328455775976181,0.3035678267478943,0.3327934443950653,-0.0560641810297966,0.5490859150886536,0.3460858166217804,-0.04741593450307846,0.3400109112262726,0.8338581323623657,-0.0027024622540920973,0.49822288751602173,0.8349473476409912,0.003187755588442087
0.2721758186817169,0.7611196637153625,-0.11119018495082855,0.5889629125595093,0.755612313747406,-0.0671704038977623,0.3048737347126007,0.3347797095775604,-0.05759113281965256,0.5487837195396423,0.3475761413574219,-0.04851241409778595,0.3401907980442047,0.8276380896568298,-0.0035725682973861694,0.49731215834617615,0.8319700360298157,0.004079670645296574
0.2790583670139313,0.7512965798377991,-0.29594436287879944,0.5915292501449585,0.7472242116928101,-0.07686567306518555,0.30614718794822693,0.33646926283836365,-0.05867922306060791,0.5425863862037659,0.34858471155166626,-0.02779969573020935,0.341682493686676,0.8268722891807556,-0.008566359058022499,0.4966772198677063,0.8321525454521179,0.009204176254570484
0.2940065562725067,0.7485300898551941,-0.032381363213062286,0.591787576675415,0.7522271871566772,0.07982804626226425,0.30749577283859253,0.3387346565723419,-0.06413216888904572,0.542110800743103,0.35002821683883667,-0.02506116032600403,0.3438882827758789,0.8294040560722351,-0.006589318625628948,0.500437319278717,0.8332550525665283,0.007137649692595005
0.3032936751842499,0.7371761798858643,-0.03248102217912674,0.5933698415756226,0.7526997923851013,0.12223093211650848,0.31112387776374817,0.3462276756763458,-0.06082317233085632,0.5438015460968018,0.3572690188884735,-0.004910863470286131,0.3464528024196625,0.8286122679710388,-0.0070441304706037045,0.5020877122879028,0.8347854614257812,0.007582430727779865
